id|ot|alias|setcode|type|atk|def|level|race|attribute|category
2511|3|0|383|33|0|0|1|8|32|0
10000|3|0|0|33554465|-2|-2|10|8192|32|8192
27551|3|0|0|131076|0|0|0|0|0|1048577
32864|3|0|0|17|1200|900|3|16|32|0
35699|3|0|238|33554465|2800|1200|8|8|16|1048705
39015|3|0|0|33|1600|800|4|32768|1|34603008
41546|3|0|7209135|16777249|1800|2600|101056520|8|32|1179682
41777|3|0|71|4|0|0|0|0|0|1048576
44818|3|0|347|33|400|2100|4|4|16|1048576
50755|3|0|0|4|0|0|0|0|0|1048576
56889|3|0|0|4|0|0|0|0|0|1152
62121|3|0|0|2097185|920|1930|4|8|32|0
96540|3|0|0|2|0|0|0|0|0|1048576
98905|3|0|229|4|0|0|0|0|0|68157440
102380|3|0|0|33554465|3000|2500|8|8|4|1310720
109401|3|0|0|8225|1200|2400|5|1|32|0
111280|3|0|0|65538|0|0|0|0|0|0
114932|3|0|0|33|1400|300|3|256|1|262144
122520|3|0|159|33|800|800|3|2|16|1179649
123709|3|0|57|33|2100|200|6|1|4|0
126218|3|0|0|4|0|0|0|0|0|536870912
128454|3|0|159|33|1100|2400|5|512|8|0
131182|3|0|0|33|300|500|2|2|16|1048577
132308|3|0|321|33|0|0|4|1024|2|1179648
135598|3|0|0|4129|100|100|1|16384|1|544
146746|3|0|0|67108897|1500|34|2|32|1|1179648
164710|3|0|0|4|0|0|0|0|0|2048
168917|3|0|48|33|1800|800|4|4|16|1048704
176392|3|0|29|33|1800|1800|4|256|1|1048576
176393|3|0|29|16401|1800|1800|4|256|1|0
191749|3|0|0|2|0|0|0|0|0|1048704
197042|3|0|372|4|0|0|0|0|0|0
209710|3|0|0|33|1000|1400|4|16777216|32|256
213326|3|0|0|2|0|0|0|0|0|544
218704|3|0|0|33554465|1400|1200|4|16384|2|1048576
220414|3|0|159|33|1200|1200|4|1|16|268435584
242146|3|0|0|262146|0|0|0|0|0|0
255998|3|0|0|33|1200|200|4|1|8|16384
259314|3|0|86|4|0|0|0|0|0|0
263926|3|0|0|33|100|100|1|4|1|1048576
269012|3|0|0|524290|0|0|0|0|0|262688
269510|3|0|0|524290|0|0|0|0|0|134283264
276357|3|0|0|131076|0|0|0|0|0|1
282886|3|0|7667828|33|1500|1500|4|131072|2|1048576
284224|3|0|334|97|2000|3000|7|1|16|8388641
286392|3|0|102|8225|2100|1200|5|1|4|1048704
291414|3|0|0|4129|0|0|1|8192|16|1048576
293542|3|0|39|33|1200|0|3|32768|32|1049120
295517|3|22702055|0|524290|0|0|0|0|0|3072
296499|3|0|0|131076|0|0|0|0|0|0
303660|3|0|0|262146|0|0|0|0|0|0
313513|3|0|0|2|0|0|0|0|0|1048577
327051|3|0|338|2|0|0|0|0|0|1048704
336369|3|0|16|4129|0|1800|2|4096|8|1048576
340002|3|0|159|33|2600|1800|6|16384|1|0
359563|3|0|10|8388641|950|1950|4|8|32|0
365213|3|0|0|131074|0|0|0|0|0|1048832
368382|3|0|216|16777249|2000|800|101056517|32|2|1179648
373085|3|0|0|33|800|200|3|128|4|4
387282|3|0|84|33|200|800|2|2|32|2592
402568|3|0|14|33|1200|100|4|4096|16|16384
403847|3|0|0|131074|0|0|0|0|0|0
410904|3|0|192|33|2000|200|5|8192|8|96
423585|3|0|0|33|800|1600|4|2|32|1052672
423705|3|0|0|33|1800|1600|4|1|1|0
425934|3|0|172|33|1000|1800|4|8|1|0
440556|3|0|0|8388641|2600|2100|4|262144|2|68157440
458748|3|0|0|65538|0|0|0|0|0|9437184
464362|3|0|173|97|1900|1200|6|8|32|3
473469|3|0|0|4|0|0|0|0|0|2
487395|3|0|0|4113|400|1200|1|64|2|0
494922|3|0|154|8225|2400|3800|10|32|1|128
525110|3|0|91|4129|700|400|2|1024|32|1048576
545781|3|0|0|4129|0|2500|5|8192|16|1835008
549481|3|0|0|17|500|2000|4|16384|1|0
564541|3|0|0|33|400|200|2|8192|1|1048704
572850|3|0|386|33|1800|1300|4|64|32|0
575512|3|0|193|524290|0|0|0|0|0|34603008
581014|3|0|16|8388641|1800|800|4|256|8|3145984
595626|1|0|164|33|300|200|1|8|32|1049120
596051|3|0|0|4|0|0|0|0|0|0
598988|3|0|35|33554465|4000|0|10|8192|32|1048576
601193|3|0|177|8225|2500|1000|6|2|16|256
612115|3|0|25|33|1200|800|3|64|2|1048704
637216|3|0|0|33|1500|1200|4|32|1|0
645087|3|0|9633873|33|1400|300|4|16777216|16|1179648
645088|3|0|81|16401|0|0|2|16777216|16|0
645794|3|0|208|16777249|1300|500|84213764|2|8|0
652362|3|0|12|4129|500|200|1|524288|16|1048577
674561|3|0|0|2|0|0|0|0|0|32
675319|3|0|0|524290|0|0|0|0|0|9
691925|3|0|165|2|0|0|0|0|0|260
698785|3|0|0|8388641|3000|2000|8|8192|16|1
703897|3|0|283|1048580|0|0|0|0|0|134283808
706925|3|0|119|33|1400|0|3|262144|2|1048576
712559|3|0|4|524290|0|0|0|0|0|1048576
